Disease,Gene,Gene_Name,Age_Of_Onset,Inheritance_Type
Low oxygen affinity gamma chain hemoglobin disease,HBG2,hemoglobin subunit gamma 2,"Infancy, Neonatal",Autosomal dominant
Hereditary sensorimotor neuropathy with hyperelastic skin,FBLN5,fibulin 5,All ages,Autosomal dominant
Progressive myoclonic epilepsy type 6,GOSR2,golgi SNAP receptor complex member 2,Childhood,Autosomal recessive
Megaconial congenital muscular dystrophy,CHKB,choline kinase beta,"Infancy, Neonatal",Autosomal recessive
Occipital pachygyria and polymicrogyria,LAMC3,laminin subunit gamma 3,"Infancy, Neonatal",Autosomal recessive
Autosomal recessive nail dysplasia,FZD6,frizzled class receptor 6,"Childhood, Infancy",Autosomal recessive
Bullous diffuse cutaneous mastocytosis,KIT,"KIT proto-oncogene, receptor tyrosine kinase","Infancy, Neonatal",Not applicable
Pseudoxanthomatous diffuse cutaneous mastocytosis,KIT,"KIT proto-oncogene, receptor tyrosine kinase","Infancy, Neonatal",Not applicable
Moyamoya angiopathy-short stature-facial dysmorphism-hypergonadotropic hypogonadism syndrome,BRCC3,BRCA1/BRCA2-containing complex subunit 3,All ages,X-linked recessive
Severe intellectual disability and progressive spastic paraplegia,AP4M1,adaptor related protein complex 4 subunit mu 1,"Infancy, Neonatal",Autosomal recessive
Severe intellectual disability and progressive spastic paraplegia,AP4E1,adaptor related protein complex 4 subunit epsilon 1,"Infancy, Neonatal",Autosomal recessive
Severe intellectual disability and progressive spastic paraplegia,AP4B1,adaptor related protein complex 4 subunit beta 1,"Infancy, Neonatal",Autosomal recessive
Severe intellectual disability and progressive spastic paraplegia,AP4S1,adaptor related protein complex 4 subunit sigma 1,"Infancy, Neonatal",Autosomal recessive
Craniosynostosis-dental anomalies,IL11RA,interleukin 11 receptor subunit alpha,"Infancy, Neonatal",Autosomal recessive
"Larsen-like syndrome, B3GAT3 type",B3GAT3,"beta-1,3-glucuronyltransferase 3","Infancy, Neonatal",Autosomal recessive
Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to 10p11.21p12.31 microdeletion,WAC,WW domain containing adaptor with coiled-coil,Infancy,"Not applicable, Unknown"
Familial retinal arterial macroaneurysm,IGFBP7,insulin like growth factor binding protein 7,Childhood,Autosomal recessive
Autosomal dominant Charcot-Marie-Tooth disease type 2O,DYNC1H1,dynein cytoplasmic 1 heavy chain 1,Childhood,Autosomal dominant
Autosomal recessive cerebellar ataxia-psychomotor delay syndrome,SYT14,synaptotagmin 14,Childhood,Autosomal recessive
Childhood-onset autosomal recessive slowly progressive spinocerebellar ataxia,TPP1,tripeptidyl peptidase 1,Childhood,Autosomal recessive
Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to WWOX deficiency,WWOX,WW domain containing oxidoreductase,"Infancy, Neonatal",Autosomal recessive
Adult-onset autosomal recessive cerebellar ataxia,ANO10,anoctamin 10,Adult,Autosomal recessive
DICER1 tumor-predisposition syndrome,DICER1,"dicer 1, ribonuclease III","Adolescent, Adult, Childhood",Autosomal dominant
Pontocerebellar hypoplasia type 7,TOE1,"target of EGR1, exonuclease","Infancy, Neonatal",Autosomal recessive
Pontocerebellar hypoplasia type 7,MINPP1,multiple inositol-polyphosphate phosphatase 1,"Infancy, Neonatal",Autosomal recessive
"Glycerol kinase deficiency, juvenile form",GK,glycerol kinase,"Adolescent, Childhood",X-linked recessive
Inherited Creutzfeldt-Jakob disease,PRNP,prion protein (Kanno blood group),"Adult, Elderly",Autosomal dominant
Cirrhosis-dystonia-polycythemia-hypermanganesemia syndrome,SLC30A10,solute carrier family 30 member 10,Childhood,Autosomal recessive
Rhizomelic chondrodysplasia punctata type 3,AGPS,alkylglycerone phosphate synthase,,Autosomal recessive
Rhizomelic chondrodysplasia punctata type 1,PEX7,peroxisomal biogenesis factor 7,,Autosomal recessive
Rhizomelic chondrodysplasia punctata type 2,GNPAT,glyceronephosphate O-acyltransferase,,Autosomal recessive
High bone mass osteogenesis imperfecta,COL1A1,collagen type I alpha 1 chain,Childhood,Autosomal dominant
High bone mass osteogenesis imperfecta,COL1A2,collagen type I alpha 2 chain,Childhood,Autosomal dominant
High bone mass osteogenesis imperfecta,BMP1,bone morphogenetic protein 1,Childhood,Autosomal dominant
Gastric adenocarcinoma and proximal polyposis of the stomach,APC,APC regulator of Wnt signaling pathway,Adult,Autosomal dominant
Developmental and speech delay due to SOX5 deficiency,SOX5,SRY-box transcription factor 5,"Infancy, Neonatal","Autosomal dominant, Not applicable"
12p12.1 microdeletion syndrome,SOX5,SRY-box transcription factor 5,"Infancy, Neonatal","Autosomal dominant, Not applicable"
FGFR2-related bent bone dysplasia,FGFR2,fibroblast growth factor receptor 2,"Antenatal, Neonatal",Autosomal dominant
Infantile cerebellar-retinal degeneration,ACO2,aconitase 2,"Infancy, Neonatal",Autosomal recessive
Familial cutaneous telangiectasia and oropharyngeal cancer predisposition syndrome,ATR,ATR checkpoint kinase,"Infancy, Neonatal",Autosomal dominant
Coats plus syndrome,CTC1,CST telomere replication complex component 1,Childhood,Autosomal recessive
Coats plus syndrome,STN1,STN1 subunit of CST complex,Childhood,Autosomal recessive
Retinal dystrophy-optic nerve edema-splenomegaly-anhidrosis-migraine headache syndrome,ALPK1,alpha kinase 1,Childhood,Autosomal dominant
Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia,AARS2,"alanyl-tRNA synthetase 2, mitochondrial",Adult,Autosomal dominant
Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia,CSF1R,colony stimulating factor 1 receptor,Adult,Autosomal dominant
Jawad syndrome,RBBP8,"RB binding protein 8, endonuclease","Infancy, Neonatal",Autosomal recessive
Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome,AFG3L2,AFG3 like matrix AAA peptidase subunit 2,Childhood,Autosomal recessive
Autosomal recessive spastic ataxia with leukoencephalopathy,MARS2,"methionyl-tRNA synthetase 2, mitochondrial","Adolescent, Adult, Childhood",Autosomal recessive
Chudley-McCullough syndrome,GPSM2,G protein signaling modulator 2,"Infancy, Neonatal",Autosomal recessive
Young adult-onset distal hereditary motor neuropathy,DNAJB2,DnaJ heat shock protein family (Hsp40) member B2,Adult,Autosomal recessive
Young adult-onset distal hereditary motor neuropathy,VWA1,von Willebrand factor A domain containing 1,Adult,Autosomal recessive
Facial dysmorphism-ocular anomalies-osteopenia-intellectual disability-dental anomalies syndrome,IRX5,iroquois homeobox 5,"Infancy, Neonatal",Autosomal recessive
Short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome,POC1A,POC1 centriolar protein A,"Infancy, Neonatal",Autosomal recessive
Autosomal dominant aplasia and myelodysplasia,SRP72,signal recognition particle 72,Childhood,Autosomal dominant
Autosomal dominant cerebellar ataxia-deafness-narcolepsy syndrome,DNMT1,DNA methyltransferase 1,Adult,"Autosomal dominant, Not applicable"
Chronic infantile diarrhea due to guanylate cyclase 2C overactivity,GUCY2C,guanylate cyclase 2C,"Infancy, Neonatal",Autosomal dominant
Intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency,GUCY2C,guanylate cyclase 2C,Neonatal,Autosomal recessive
Hereditary sensory and autonomic neuropathy type 6,DST,dystonin,"Infancy, Neonatal",Autosomal recessive
Leukoencephalopathy-thalamus and brainstem anomalies-high lactate syndrome,EARS2,"glutamyl-tRNA synthetase 2, mitochondrial","Infancy, Neonatal",No data available
Kufor-Rakeb syndrome,ATP13A2,ATPase cation transporting 13A2,"Adolescent, Childhood",Autosomal recessive
"Primary dystonia, DYT21 type",DYT21,"dystonia 21, torsion (autosomal dominant)",Adult,Autosomal dominant
Methylcobalamin deficiency type cblDv1,MMADHC,metabolism of cobalamin associated D,,Autosomal recessive
Sulfite oxidase deficiency due to molybdenum cofactor deficiency type A,MOCS1,molybdenum cofactor synthesis 1,,Autosomal recessive
Sulfite oxidase deficiency due to molybdenum cofactor deficiency type B,MOCS2,molybdenum cofactor synthesis 2,,Autosomal recessive
Sulfite oxidase deficiency due to molybdenum cofactor deficiency type C,GPHN,gephyrin,,Autosomal recessive
Autism-epilepsy syndrome due to branched chain ketoacid dehydrogenase kinase deficiency,BCKDK,branched chain keto acid dehydrogenase kinase,Childhood,Autosomal recessive
Methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency,MCEE,methylmalonyl-CoA epimerase,"Childhood, Infancy",Autosomal recessive
"Glycogen storage disease due to glycogen branching enzyme deficiency, childhood neuromuscular form",GBE1,"1,4-alpha-glucan branching enzyme 1",,Autosomal recessive
"Glycogen storage disease due to glycogen branching enzyme deficiency, adult neuromuscular form",GBE1,"1,4-alpha-glucan branching enzyme 1",,Autosomal recessive
"Glycogen storage disease due to glycogen branching enzyme deficiency, congenital neuromuscular form",GBE1,"1,4-alpha-glucan branching enzyme 1",,Autosomal recessive
"Glycogen storage disease due to glycogen branching enzyme deficiency, childhood combined hepatic and myopathic form",GBE1,"1,4-alpha-glucan branching enzyme 1",,Autosomal recessive
Familial lipoprotein lipase deficiency,LPL,lipoprotein lipase,"Childhood, Infancy","Autosomal dominant, Autosomal recessive"
Familial apolipoprotein C-II deficiency,APOC2,apolipoprotein C2,"Adolescent, Childhood",Autosomal recessive
Generalized galactose epimerase deficiency,GALE,UDP-galactose-4-epimerase,,Autosomal recessive
Chordoma,PALB2,partner and localizer of BRCA2,Adult,"Autosomal dominant, Not applicable"
Chordoma,BRCA2,BRCA2 DNA repair associated,Adult,"Autosomal dominant, Not applicable"
Chordoma,TBXT,T-box transcription factor T,Adult,"Autosomal dominant, Not applicable"
Erythrocyte galactose epimerase deficiency,GALE,UDP-galactose-4-epimerase,,Autosomal recessive
Microcephalic osteodysplastic primordial dwarfism type II,PCNT,pericentrin,"Antenatal, Infancy, Neonatal",Autosomal recessive
"Vitamin B12-responsive methylmalonic acidemia, type cblDv2",MMADHC,metabolism of cobalamin associated D,,Autosomal recessive
"Glycogen storage disease due to glycogen branching enzyme deficiency, fatal perinatal neuromuscular form",GBE1,"1,4-alpha-glucan branching enzyme 1",,Autosomal recessive
"Glycogen storage disease due to glycogen branching enzyme deficiency, non progressive hepatic form",GBE1,"1,4-alpha-glucan branching enzyme 1",,Autosomal recessive
"Glycogen storage disease due to glycogen branching enzyme deficiency, progressive hepatic form",GBE1,"1,4-alpha-glucan branching enzyme 1",,Autosomal recessive
"Glycogen storage disease due to acid maltase deficiency, infantile onset",GAA,alpha glucosidase,"Antenatal, Infancy, Neonatal",Autosomal recessive
"Metachromatic leukodystrophy, adult form",PSAP,prosaposin,Adult,Autosomal recessive
"Metachromatic leukodystrophy, adult form",ARSA,arylsulfatase A,Adult,Autosomal recessive
"Alpha-mannosidosis, infantile form",MAN2B1,mannosidase alpha class 2B member 1,Infancy,Autosomal recessive
"Alpha-mannosidosis, adult form",MAN2B1,mannosidase alpha class 2B member 1,Adult,Autosomal recessive
"GM2 gangliosidosis, AB variant",GM2A,ganglioside GM2 activator,Infancy,Autosomal recessive
Atypical Gaucher disease due to saposin C deficiency,PSAP,prosaposin,,Autosomal recessive
"Metachromatic leukodystrophy, late infantile form",PSAP,prosaposin,Infancy,Autosomal recessive
"Metachromatic leukodystrophy, late infantile form",ARSA,arylsulfatase A,Infancy,Autosomal recessive
"Metachromatic leukodystrophy, juvenile form",PSAP,prosaposin,"Adolescent, Childhood",Autosomal recessive
"Metachromatic leukodystrophy, juvenile form",ARSA,arylsulfatase A,"Adolescent, Childhood",Autosomal recessive
"Free sialic acid storage disease, infantile form",SLC17A5,solute carrier family 17 member 5,"Antenatal, Neonatal",Autosomal recessive
Intermediate severe Salla disease,SLC17A5,solute carrier family 17 member 5,,Autosomal recessive
Salla disease,SLC17A5,solute carrier family 17 member 5,Infancy,Autosomal recessive
Mucopolysaccharidosis type 4A,GALNS,galactosamine (N-acetyl)-6-sulfatase,Childhood,Autosomal recessive
Mucopolysaccharidosis type 4B,GLB1,galactosidase beta 1,,Autosomal recessive
"Tay-Sachs disease, juvenile form",HEXA,hexosaminidase subunit alpha,,Autosomal recessive
"Tay-Sachs disease, infantile form",HEXA,hexosaminidase subunit alpha,,Autosomal recessive
"Tay-Sachs disease, adult form",HEXA,hexosaminidase subunit alpha,,Autosomal recessive
"Sandhoff disease, infantile form",HEXB,hexosaminidase subunit beta,Infancy,Autosomal recessive
"Sandhoff disease, adult form",HEXB,hexosaminidase subunit beta,Adult,Autosomal recessive
"Sandhoff disease, juvenile form",HEXB,hexosaminidase subunit beta,"Adolescent, Childhood",Autosomal recessive
Autosomal recessive infantile hypercalcemia,CYP24A1,cytochrome P450 family 24 subfamily A member 1,"Infancy, Neonatal",Autosomal recessive
Autosomal recessive infantile hypercalcemia,SLC34A1,solute carrier family 34 member 1,"Infancy, Neonatal",Autosomal recessive
Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation,TUBB3,tubulin beta 3 class III,"Infancy, Neonatal",Autosomal dominant
Polymicrogyria due to TUBB2B mutation,TUBB2B,tubulin beta 2B class IIb,"Infancy, Neonatal",Autosomal dominant
Multiple congenital anomalies-hypotonia-seizures syndrome type 2,PIGA,phosphatidylinositol glycan anchor biosynthesis class A,"Antenatal, Infancy, Neonatal",X-linked recessive
Pseudohypoaldosteronism type 2D,KLHL3,kelch like family member 3,,"Autosomal dominant, Autosomal recessive"
Pseudohypoaldosteronism type 2E,CUL3,cullin 3,,Autosomal dominant
DDOST-CDG,DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit,"Infancy, Neonatal",Autosomal recessive
Primary cutaneous anaplastic large cell lymphoma,TYK2,tyrosine kinase 2,"Adolescent, Adult, Childhood",
Primary cutaneous anaplastic large cell lymphoma,NPM1,nucleophosmin 1,"Adolescent, Adult, Childhood",
Hairy cell leukemia variant,IGHV4-34,immunoglobulin heavy variable 4-34,"Adult, Elderly",Unknown
ALK-positive anaplastic large cell lymphoma,ALK,ALK receptor tyrosine kinase,"Adolescent, Adult, Childhood",Not applicable
Juvenile amyotrophic lateral sclerosis,ALS2,alsin Rho guanine nucleotide exchange factor ALS2,Childhood,Autosomal recessive
Juvenile amyotrophic lateral sclerosis,SPG11,"SPG11 vesicle trafficking associated, spatacsin",Childhood,Autosomal recessive
Juvenile amyotrophic lateral sclerosis,SIGMAR1,sigma non-opioid intracellular receptor 1,Childhood,Autosomal recessive
Juvenile amyotrophic lateral sclerosis,FUS,FUS RNA binding protein,Childhood,Autosomal recessive
Juvenile amyotrophic lateral sclerosis,SPTLC1,serine palmitoyltransferase long chain base subunit 1,Childhood,Autosomal recessive
Familial dilated cardiomyopathy with conduction defect due to LMNA mutation,LMNA,lamin A/C,Adult,Autosomal dominant
FADD-related immunodeficiency,FADD,Fas associated via death domain,"Infancy, Neonatal",Autosomal recessive
Frontonasal dysplasia-severe microphthalmia-severe facial clefting syndrome,ALX1,ALX homeobox 1,"Antenatal, Neonatal",Autosomal recessive
Porencephaly-microcephaly-bilateral congenital cataract syndrome,JAM3,junctional adhesion molecule 3,"Infancy, Neonatal",Autosomal recessive
Congenital hereditary facial paralysis-variable hearing loss syndrome,HOXB1,homeobox B1,"Infancy, Neonatal",Autosomal recessive
Autosomal recessive spastic paraplegia type 48,AP5Z1,adaptor related protein complex 5 subunit zeta 1,Adult,Autosomal recessive
Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome,ITGA3,integrin subunit alpha 3,"Infancy, Neonatal",Autosomal recessive
Familial hyperphosphatemic tumoral calcinosis/Hyperphosphatemic hyperostosis syndrome,FGF23,fibroblast growth factor 23,,Autosomal recessive
Familial hyperphosphatemic tumoral calcinosis/Hyperphosphatemic hyperostosis syndrome,GALNT3,polypeptide N-acetylgalactosaminyltransferase 3,,Autosomal recessive
Familial hyperphosphatemic tumoral calcinosis/Hyperphosphatemic hyperostosis syndrome,KL,klotho,,Autosomal recessive
Familial normophosphatemic tumoral calcinosis,SAMD9,sterile alpha motif domain containing 9,Infancy,Autosomal recessive
X-linked complicated spastic paraplegia type 1,L1CAM,L1 cell adhesion molecule,"Antenatal, Infancy, Neonatal",X-linked recessive
Hereditary sodium channelopathy-related small fibers neuropathy,SCN9A,sodium voltage-gated channel alpha subunit 9,No data available,Autosomal dominant
Hereditary sodium channelopathy-related small fibers neuropathy,SCN10A,sodium voltage-gated channel alpha subunit 10,No data available,Autosomal dominant
Hereditary sodium channelopathy-related small fibers neuropathy,SCN11A,sodium voltage-gated channel alpha subunit 11,No data available,Autosomal dominant
Primary microcephaly-epilepsy-permanent neonatal diabetes syndrome,IER3IP1,immediate early response 3 interacting protein 1,Neonatal,Autosomal recessive
Primary microcephaly-epilepsy-permanent neonatal diabetes syndrome,YIPF5,Yip1 domain family member 5,Neonatal,Autosomal recessive
Synpolydactyly type 1,HOXD13,homeobox D13,,Autosomal dominant
Zygodactyly type 3,HOXD13,homeobox D13,,Autosomal dominant
"Congenital vertical talus, unilateral",HOXD10,homeobox D10,,Autosomal dominant
"Congenital vertical talus, bilateral",HOXD10,homeobox D10,,Autosomal dominant
Synpolydactyly type 2,FBLN1,fibulin 1,,Autosomal dominant
"Macrodactyly of fingers, unilateral",PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",,Autosomal dominant
"Macrodactyly of toes, unilateral",PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",,Autosomal dominant
Kyphoscoliotic Ehlers-Danlos syndrome due to FKBP22 deficiency,FKBP14,FKBP prolyl isomerase 14,"Infancy, Neonatal",Autosomal recessive
Charcot-Marie-Tooth disease type 2P,LRSAM1,leucine rich repeat and sterile alpha motif containing 1,"Adolescent, Adult","Autosomal dominant, Autosomal recessive"
Persistent polyclonal B-cell lymphocytosis,CARD11,caspase recruitment domain family member 11,No data available,Multigenic/multifactorial
Congenital cataract-hearing loss-severe developmental delay syndrome,SLC33A1,solute carrier family 33 member 1,"Infancy, Neonatal",Autosomal recessive
Severe congenital hypochromic anemia with ringed sideroblasts,STEAP3,STEAP3 metalloreductase,"Infancy, Neonatal",Unknown
Connective tissue disorder due to lysyl hydroxylase-3 deficiency,PLOD3,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3","Antenatal, Neonatal",Not applicable
Transient infantile hypertriglyceridemia and hepatosteatosis,GPD1,glycerol-3-phosphate dehydrogenase 1,"Infancy, Neonatal",Autosomal recessive
Transient infantile hypertriglyceridemia and hepatosteatosis,CREB3L3,cAMP responsive element binding protein 3 like 3,"Infancy, Neonatal",Autosomal recessive
Progeroid and marfanoid aspect-lipodystrophy syndrome,FBN1,fibrillin 1,"Infancy, Neonatal",Autosomal dominant
Autosomal systemic lupus erythematosus,C1QA,complement C1q A chain,Childhood,"Autosomal dominant, Autosomal recessive"
Autosomal systemic lupus erythematosus,C4A,complement C4A (Chido/Rodgers blood group),Childhood,"Autosomal dominant, Autosomal recessive"
Autosomal systemic lupus erythematosus,DNASE1L3,deoxyribonuclease 1L3,Childhood,"Autosomal dominant, Autosomal recessive"
Autosomal systemic lupus erythematosus,C1R,complement C1r,Childhood,"Autosomal dominant, Autosomal recessive"
Autosomal systemic lupus erythematosus,DNASE1,deoxyribonuclease 1,Childhood,"Autosomal dominant, Autosomal recessive"
PLCG2-associated antibody deficiency and immune dysregulation,PLCG2,phospholipase C gamma 2,"Infancy, Neonatal",Autosomal dominant
Nephrotic syndrome-epidermolysis bullosa-sensorineural deafness syndrome,CD151,CD151 molecule (Raph blood group),Adolescent,Autosomal recessive
Fever-associated acute infantile liver failure syndrome,NBAS,NBAS subunit of NRZ tethering complex,Infancy,Autosomal recessive
Fever-associated acute infantile liver failure syndrome,RINT1,RAD50 interactor 1,Infancy,Autosomal recessive
Basel-Vanagaite-Smirin-Yosef syndrome,MED25,mediator complex subunit 25,"Antenatal, Infancy, Neonatal",Autosomal recessive
Familial cavitary optic disc anomaly,MMP19,matrix metallopeptidase 19,"Adolescent, Adult",Autosomal dominant
Familial gastric type 1 neuroendocrine tumor,ATP4A,ATPase H+/K+ transporting subunit alpha,Adult,Autosomal recessive
Symptomatic form of HFE-related hemochromatosis,HFE,homeostatic iron regulator,Adult,Autosomal recessive
Symptomatic form of HFE-related hemochromatosis,BMP6,bone morphogenetic protein 6,Adult,Autosomal recessive
Spastic paraplegia-severe developmental delay-epilepsy syndrome,HACE1,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1,Infancy,Autosomal recessive
Short stature-brachydactyly-obesity-global developmental delay syndrome,PRMT7,protein arginine methyltransferase 7,"Antenatal, Infancy, Neonatal",Autosomal recessive
Intellectual disability syndrome due to a DYRK1A point mutation,DYRK1A,dual specificity tyrosine phosphorylation regulated kinase 1A,"Infancy, Neonatal",Autosomal dominant
NEK9-related lethal skeletal dysplasia,NEK9,NIMA related kinase 9,Antenatal,Autosomal recessive
BENTA disease,CARD11,caspase recruitment domain family member 11,Infancy,Autosomal dominant
COG6-CGD,COG6,component of oligomeric golgi complex 6,Neonatal,Autosomal recessive
"Primary dystonia, DYT27 type",COL6A3,collagen type VI alpha 3 chain,"Adult, Childhood",Autosomal recessive
Neonatal alloimmune neutropenia,FCGR3B,Fc fragment of IgG receptor IIIb,Neonatal,
X-linked myotubular myopathy-abnormal genitalia syndrome,MAMLD1,mastermind like domain containing 1,"Antenatal, Neonatal",Unknown
X-linked myotubular myopathy-abnormal genitalia syndrome,MTM1,myotubularin 1,"Antenatal, Neonatal",Unknown
Hereditary neuroendocrine tumor of small intestine,IPMK,inositol polyphosphate multikinase,,Autosomal dominant
Infantile multisystem neurologic-endocrine-pancreatic disease,PTRH2,peptidyl-tRNA hydrolase 2,Infancy,Autosomal recessive
Hereditary sensory neuropathy-deafness-dementia syndrome,DNMT1,DNA methyltransferase 1,"Adolescent, Adult",Autosomal dominant
NTHL1-related polyposis,NTHL1,nth like DNA glycosylase 1,"Adult, Elderly",Autosomal recessive
Kuru,PRNP,prion protein (Kanno blood group),All ages,"Multigenic/multifactorial, Not applicable"
Polyendocrine-polyneuropathy syndrome,DMXL2,Dmx like 2,Childhood,Autosomal recessive
Autosomal recessive cerebellar ataxia due to CWF19L1 deficiency,CWF19L1,CWF19 like cell cycle control factor 1,"Infancy, Neonatal",Autosomal recessive
Familial congenital nasolacrimal duct obstruction,IGSF3,immunoglobulin superfamily member 3,"Antenatal, Neonatal",Autosomal recessive
Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-skeletal anomalies syndrome due to a point mutation,HNRNPK,heterogeneous nuclear ribonucleoprotein K,Neonatal,"Autosomal dominant, Not applicable"
Congenital insensitivity to pain with severe intellectual disability,CLTCL1,clathrin heavy chain like 1,Neonatal,Autosomal recessive
Isolated focal non-epidermolytic palmoplantar keratoderma,TRPV3,transient receptor potential cation channel subfamily V member 3,Childhood,Autosomal dominant
Isolated focal non-epidermolytic palmoplantar keratoderma,KRT16,keratin 16,Childhood,Autosomal dominant
Progressive autosomal recessive ataxia-deafness syndrome,SLC9A1,solute carrier family 9 member A1,"Adolescent, Childhood, Infancy",Autosomal recessive
Regressive spondylometaphyseal dysplasia,LBR,lamin B receptor,Neonatal,Autosomal recessive
CAD-CDG,CAD,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",Infancy,Autosomal recessive
Spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome,SLC1A4,solute carrier family 1 member 4,"Infancy, Neonatal",Autosomal recessive
Autosomal recessive brachyolmia,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,Childhood,Autosomal recessive
Progressive scapulohumeroperoneal distal myopathy,ACTA1,"actin alpha 1, skeletal muscle","Childhood, Infancy",Autosomal dominant
Klippel-Feil anomaly-myopathy-facial dysmorphism syndrome,MYO18B,myosin XVIIIB,Infancy,Autosomal recessive
19p13.3 microduplication syndrome,NFIX,nuclear factor I X,"Antenatal, Neonatal",Unknown
Combined oxidative phosphorylation defect type 25,MARS2,"methionyl-tRNA synthetase 2, mitochondrial",Neonatal,Autosomal recessive
Autosomal dominant Charcot-Marie-Tooth disease type 2V,NAGLU,N-acetyl-alpha-glucosaminidase,"Adolescent, Adult, Elderly",Autosomal dominant
Pigmentation defects-palmoplantar keratoderma-skin carcinoma syndrome,SASH1,SAM and SH3 domain containing 1,Infancy,Autosomal recessive
Ataxia-oculomotor apraxia type 4,PNKP,polynucleotide kinase 3'-phosphatase,"Childhood, Infancy",Autosomal recessive
"Spondyloepiphyseal dysplasia, Stanescu type",COL2A1,collagen type II alpha 1 chain,Childhood,Autosomal dominant
Craniofacial dysplasia-short stature-ectodermal anomalies-intellectual disability syndrome,DPH1,diphthamide biosynthesis 1,"Antenatal, Neonatal",Autosomal recessive
Craniofacial dysplasia-short stature-ectodermal anomalies-intellectual disability syndrome,DPH2,diphthamide biosynthesis 2,"Antenatal, Neonatal",Autosomal recessive
Autosomal recessive spastic paraplegia type 75,MAG,myelin associated glycoprotein,Childhood,Autosomal recessive
X-linked intellectual disability-cerebellar hypoplasia-spondylo-epiphyseal dysplasia syndrome,RPL10,ribosomal protein L10,"Infancy, Neonatal",X-linked recessive
Spinocerebellar ataxia type 41,TRPC3,transient receptor potential cation channel subfamily C member 3,Adult,Autosomal dominant
Spinocerebellar ataxia type 42,CACNA1G,calcium voltage-gated channel subunit alpha1 G,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant
Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome,MTOR,mechanistic target of rapamycin kinase,"Infancy, Neonatal",Autosomal dominant
Progressive myoclonic epilepsy type 9,LMNB2,lamin B2,Childhood,Autosomal recessive
Intellectual disability-macrocephaly-hypotonia-behavioral abnormalities syndrome,PPP2R5D,protein phosphatase 2 regulatory subunit B'delta,"Infancy, Neonatal",Autosomal dominant
X-linked intellectual disability-hypotonia-movement disorder syndrome,DDX3X,DEAD-box helicase 3 X-linked,"Adolescent, Childhood",X-linked dominant
X-linked intellectual disability-short stature-overweight syndrome,THOC2,THO complex subunit 2,"Adolescent, Childhood, Infancy",X-linked recessive
Clear cell sarcoma of kidney,BCOR,BCL6 corepressor,"Adolescent, Adult, Childhood, Infancy",Not applicable
Clear cell sarcoma of kidney,YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon,"Adolescent, Adult, Childhood, Infancy",Not applicable
Clear cell sarcoma of kidney,NUTM2B,NUT family member 2B,"Adolescent, Adult, Childhood, Infancy",Not applicable
Clear cell sarcoma of kidney,NUTM2E,NUT family member 2E,"Adolescent, Adult, Childhood, Infancy",Not applicable
Clear cell sarcoma of kidney,TERT,telomerase reverse transcriptase,"Adolescent, Adult, Childhood, Infancy",Not applicable
Clear cell sarcoma of kidney,IRX2,iroquois homeobox 2,"Adolescent, Adult, Childhood, Infancy",Not applicable
Progressive spondyloepimetaphyseal dysplasia-short stature-short fourth metatarsals-intellectual disability syndrome,RSPRY1,ring finger and SPRY domain containing 1,"Infancy, Neonatal",Autosomal recessive
Multiple mitochondrial dysfunctions syndrome type 4,ISCA2,iron-sulfur cluster assembly 2,Infancy,Autosomal recessive
ITPA-related lethal infantile neurological disorder with cataract and cardiac involvement,ITPA,inosine triphosphatase,"Infancy, Neonatal",Autosomal recessive
Complex lethal osteochondrodysplasia,TAPT1,transmembrane anterior posterior transformation 1,Antenatal,Autosomal recessive
Megalencephaly-severe kyphoscoliosis-overgrowth syndrome,HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,Neonatal,Autosomal recessive
Microcephaly-corpus callosum hypoplasia-intellectual disability-facial dysmorphism syndrome,PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha,"Infancy, Neonatal",Autosomal dominant
Microcephaly-intellectual disability-sensorineural hearing loss-epilepsy-abnormal muscle tone syndrome,AFG2A,AAA ATPase AFG2A,"Infancy, Neonatal",Autosomal recessive
